,date,filename,plate
0,"September 23, 2013",vanity_plate-0.png,NUTDEEP
1,"October 11, 2013",vanity_plate-1.png,KILLR
2,"September 19, 2013",vanity_plate-10.png,BENWAH
3,"September 23, 2013",vanity_plate-11.png,MAMS
4,"August 19, 2013",vanity_plate-12.png,CATLII‘S
5,,vanity_plate-13.png,800—13
6,"Ocinbcr 9, 2013",vanity_plate-14.png,KNUCKL
7,"September 23, 2013",vanity_plate-15.png,BYHATER
8,"Augmst 7, 2013",vanity_plate-16.png,DUCKU
9,"August 19, 2013",vanity_plate-17.png,RUCKU
10,"January 14, 2013",vanity_plate-18.png,~LMFAO-
11,"May 22, 2013",vanity_plate-19.png,DRGDLR
12,"September 23, 2013",vanity_plate-2.png,LIFETKR
13,"May 23, 2013",vanity_plate-20.png,BENWAH
14,"August 7, 2013",vanity_plate-21.png,AWDFI'W
15,"August 19, 2013",vanity_plate-22.png,FUWBR
17,,vanity_plate-24.png,NICFOKU
18,"May 23, 2013",vanity_plate-25.png,SXBNU
19,"June 14, 2013",vanity_plate-26.png,SLAMVAN
20,"August 19, 2013",vanity_plate-27.png,PRPLPOS
21,"August 7, 2013",vanity_plate-28.png,V4PLY
22,"August 7, 2013",vanity_plate-29.png,VBAGR
23,"August 19, 2013",vanity_plate-3.png,—FCK—
24,,vanity_plate-30.png,WTFRU
25,"October 9, 2013",vanity_plate-31.png,EDU-69
26,,vanity_plate-32.png,GIRFTW
27,,vanity_plate-33.png,DEEPNIT
28,"September 23, 2013",vanity_plate-34.png,IDGAFOS
29,,vanity_plate-35.png,EATCLAM
31,,vanity_plate-37.png,FNCABBY
32,"June 14, 2013",vanity_plate-38.png,ILLIGAF
33,,vanity_plate-39.png,W'I‘FNOW
34,,vanity_plate-4.png,STFU
35,"October 9, 2013",vanity_plate-40.png,FNAUDI
36,,vanity_plate-41.png,FKNFST
37,,vanity_plate-42.png,DRG—MNY
38,,vanity_plate-43.png,TW-AT
39,,vanity_plate-44.png,HATEON
40,,vanity_plate-45.png,WANKER
41,,vanity_plate-46.png,ASSMAN
42,"June 14, 2013",vanity_plate-47.png,HABSUCK
45,"October 25, 2013",vanity_plate-5.png,CUCHUM
46,"October 9, 2013",vanity_plate-50.png,PORKINS
47,"September 23, 2013",vanity_plate-51.png,DEUX-ME
49,"February I 1, 2013",vanity_plate-53.png,ZFNSSLO
50,"March 21, 2013",vanity_plate-54.png,2NDZSX
51,,vanity_plate-55.png,BLKRICN
52,"August 7, 2013",vanity_plate-56.png,DATASS
53,"November 21, 2012",vanity_plate-57.png,IMDTF
55,,vanity_plate-59.png,MISTIT
56,"October 25, 2013",vanity_plate-6.png,CUCHUMN
57,"June 14, 2013",vanity_plate-60.png,FCKIT
61,,vanity_plate-64.png,FUNOWSN
62,,vanity_plate-65.png,FAPPING
64,"October 25, 2013",vanity_plate-67.png,POOTANG
65,"October 31, 2012",vanity_plate-68.png,SOHATER 
66,"June 14, 2013",vanity_plate-69.png,~F-T-W-
67,"October 25, 2013",vanity_plate-7.png,BOFUBAR
68,"December 9, 2013",vanity_plate-70.png,S-HI’NS
69,,vanity_plate-71.png,BADAZZ
70,,vanity_plate-72.png,STFUPLS
71,"September 23, 2013",vanity_plate-73.png,COXA—l
73,,vanity_plate-75.png,BIGTACO
74,"September 19, 2013",vanity_plate-76.png,REDRUM-
75,"October 9, 2013",vanity_plate-77.png,F KNBRK
76,,vanity_plate-78.png,FAQ-RTB
78,"June 14, 2013",vanity_plate-8.png,BAGR-
79,,vanity_plate-80.png,BVR-FVR
80,"August 7, 2013",vanity_plate-81.png,OWTFSHU
81,,vanity_plate-82.png,KlSSMY-
82,"November 5, 2013",vanity_plate-9.png,SPLDBCH
